date,country,latitude,longitude,depth,magnitude,secondary_effects,pde_shaking_deaths,pde_total_deaths,utsu_total_deaths,em_dat_total_deaths,others_source_deaths,year,month,day,time
1931-01-15 01:50:00,Mexico,16.053,-96.614,35.0,7.8,,0,0,68,0,0,1931,1,15,01:50:00
1931-02-02 22:46:00,New Zealand,-39.772,176.025,35.0,7.7,tsunami,0,0,256,256,0,1931,2,2,22:46:00
1931-02-10 06:34:00,Indonesia,-5.433,102.458,35.0,7.1,,0,0,18,0,0,1931,2,10,06:34:00
1931-03-08 01:50:00,Kingdom of Yugoslavia,41.337,22.666,25.0,6.8,,0,0,35,0,0,1931,3,8,01:50:00
1931-03-31 16:02:00,Nicaragua,13.2,-85.7,,5.6,fire,0,0,1000,0,0,1931,3,31,16:02:00
1931-04-27 16:50:00,Armenia,39.2,46.0,22.0,6.3,,0,0,390,0,0,1931,4,27,16:50:00
1931-06-07 01:30:00,England,54.08,1.5,,6.1,,0,0,0,0,1,1931,6,7,01:30:00
1931-08-10 21:18:00,China,46.57100000000001,89.965,35.0,7.9,,0,0,10000,0,0,1931,8,10,21:18:00
1931-08-27 15:27:00,Pakistan,29.473000000000006,67.172,35.0,7.1,,0,0,200,0,0,1931,8,27,15:27:00
1931-09-21 02:20:00,Japan,36.021,139.381,35.0,6.8,,0,0,16,0,0,1931,9,21,02:20:00
1931-10-03 19:13:00,Solomon Islands,-10.932,161.016,35.0,7.8,tsunami,0,0,50,0,0,1931,10,3,19:13:00
1931-11-02 10:03:00,Japan,32.003,131.945,42.2,7.5,tsunami,0,0,1,0,0,1931,11,2,10:03:00
1932-02-03 06:16:00,Cuba,19.77,-75.85,25.0,6.8,,0,0,8,0,0,1932,2,3,06:16:00
1932-03-14 22:42:00,Venezuela,8.149,-71.97399999999998,35.0,6.8,,0,0,6,0,0,1932,3,14,22:42:00
1932-04-06 09:11:00,China,31.4,115.0,15.0,6.0,,0,0,6,0,0,1932,4,6,09:11:00
1932-05-14 13:11:00,Indonesia,0.258,126.169,35.0,8.1,,0,0,5,6,0,1932,5,14,13:11:00
1932-05-21 10:10:00,Nicaragua,12.364,-87.89399999999998,35.0,6.9,,0,0,10,0,0,1932,5,21,10:10:00
1932-06-03 10:36:00,Mexico,19.457,-104.146,25.0,7.9,tsunami,0,0,60,0,0,1932,6,3,10:36:00
1932-06-18 10:12:00,Mexico,19.452,-103.632,54.3,7.9,tsunami,0,0,52,0,0,1932,6,18,10:12:00
1932-06-22 12:59:00,Mexico,19.028,-104.379,25.0,6.9,tsunami,0,0,75,0,0,1932,6,22,12:59:00
1932-09-26 19:20:00,Greece,40.333,23.732,35.0,6.9,tsunami,0,0,491,0,0,1932,9,26,19:20:00
1932-12-25 02:04:00,China,39.771,96.69,25.0,7.6,,0,0,275,0,0,1932,12,25,02:04:00
1933-03-02 17:31:00,Japan,39.224,144.622,35.0,8.4,tsunami,0,0,3064,3008,0,1933,3,2,17:31:00
1933-03-11 01:55:00,United States,33.63,-118.0,,6.4,,0,0,0,0,120,1933,3,11,01:55:00
1933-04-23 05:57:00,Greece,36.516,27.15,35.0,6.8,,0,0,74,0,0,1933,4,23,05:57:00
1933-06-24 21:54:00,Indonesia,-5.522,104.434,35.0,7.3,,0,0,76,0,0,1933,6,24,21:54:00
1933-08-25 07:50:00,China,31.81,103.541,25.0,7.3,,0,0,6865,0,0,1933,8,25,07:50:00
1933-11-28 11:09:00,Iran,32.1,56.0,27.0,6.3,,0,0,4,0,0,1933,11,28,11:09:00
1934-01-12 13:31:00,China,23.7,102.7,,6.0,,0,0,1,0,0,1934,1,12,13:31:00
1934-01-15 08:43:00,Nepal,26.773000000000003,86.762,35.0,8.1,,0,0,10700,6000,0,1934,1,15,08:43:00
1935-01-04 14:41:00,Turkey,40.5,27.5,7.0,6.2,,0,0,5,0,0,1935,1,4,14:41:00
1935-02-25 02:51:00,Greece,36.084,24.703000000000007,35.0,6.8,,0,0,0,0,0,1935,2,25,02:51:00
1935-03-05 10:27:00,Iran,36.3,53.3,,6.0,,0,0,60,0,0,1935,3,5,10:27:00
1935-04-11 23:14:00,Iran,36.432,53.621,35.0,6.8,,0,0,500,0,0,1935,4,11,23:14:00
1935-04-20 22:02:00,Taiwan,24.364,120.613,35.0,7.1,,0,0,3276,3410,0,1935,4,20,22:02:00
1935-04-28 00:00:00,China,29.4,102.3,,6.0,,0,0,2,0,0,1935,4,28,00:00:00
1935-05-01 00:00:00,Turkey,40.38,43.41,7.0,6.2,,0,0,0,0,200,1935,5,1,00:00:00
1935-05-30 21:32:00,Pakistan,28.894,66.176,35.0,8.1,,0,0,60000,60000,0,1935,5,30,21:32:00
1935-07-11 18:35:00,Japan,35.0,138.0,10.0,6.3,,0,0,9,0,0,1935,7,11,18:35:00
1936-01-09 09:23:00,Colombia,1.1,-77.6,,7.0,,0,0,250,0,0,1936,1,9,09:23:00
1936-02-07 08:56:00,China,35.633,103.265,25.0,6.8,,0,0,42,0,0,1936,2,7,08:56:00
1936-04-26 23:59:00,China,28.733,103.497,25.0,6.8,,0,0,0,0,0,1936,4,26,23:59:00
