state,county,year,pop_estimate
Tennessee,Overton County,2016,21964
Tennessee,Overton County,2017,21998
Tennessee,Overton County,2018,22068
Tennessee,Overton County,2019,22241
Tennessee,Perry County,2010,7940
Tennessee,Perry County,2011,7865
Tennessee,Perry County,2012,7852
Tennessee,Perry County,2013,7880
Tennessee,Perry County,2014,7819
Tennessee,Perry County,2015,7852
Tennessee,Perry County,2016,7880
Tennessee,Perry County,2017,7954
Tennessee,Perry County,2018,8050
Tennessee,Perry County,2019,8076
Tennessee,Pickett County,2010,5082
Tennessee,Pickett County,2011,5124
Tennessee,Pickett County,2012,5048
Tennessee,Pickett County,2013,5013
Tennessee,Pickett County,2014,5078
Tennessee,Pickett County,2015,5139
Tennessee,Pickett County,2016,5091
Tennessee,Pickett County,2017,5062
Tennessee,Pickett County,2018,5053
Tennessee,Pickett County,2019,5048
Tennessee,Polk County,2010,16813
Tennessee,Polk County,2011,16771
Tennessee,Polk County,2012,16624
Tennessee,Polk County,2013,16632
Tennessee,Polk County,2014,16684
Tennessee,Polk County,2015,16769
Tennessee,Polk County,2016,16794
Tennessee,Polk County,2017,16759
Tennessee,Polk County,2018,16918
Tennessee,Polk County,2019,16832
Tennessee,Putnam County,2010,72549
Tennessee,Putnam County,2011,73065
Tennessee,Putnam County,2012,73529
Tennessee,Putnam County,2013,74095
Tennessee,Putnam County,2014,74930
Tennessee,Putnam County,2015,75074
Tennessee,Putnam County,2016,75985
Tennessee,Putnam County,2017,77299
Tennessee,Putnam County,2018,78631
Tennessee,Putnam County,2019,80245
Tennessee,Rhea County,2010,31858
Tennessee,Rhea County,2011,32082
Tennessee,Rhea County,2012,32367
Tennessee,Rhea County,2013,32529
Tennessee,Rhea County,2014,32623
Tennessee,Rhea County,2015,32373
Tennessee,Rhea County,2016,32474
Tennessee,Rhea County,2017,32671
Tennessee,Rhea County,2018,32911
Tennessee,Rhea County,2019,33167
Tennessee,Roane County,2010,54169
Tennessee,Roane County,2011,53988
Tennessee,Roane County,2012,53615
Tennessee,Roane County,2013,53161
Tennessee,Roane County,2014,52852
Tennessee,Roane County,2015,52770
Tennessee,Roane County,2016,52944
Tennessee,Roane County,2017,53020
Tennessee,Roane County,2018,53258
Tennessee,Roane County,2019,53382
Tennessee,Robertson County,2010,66322
Tennessee,Robertson County,2011,66775
Tennessee,Robertson County,2012,66798
Tennessee,Robertson County,2013,67412
Tennessee,Robertson County,2014,68046
Tennessee,Robertson County,2015,68687
Tennessee,Robertson County,2016,69393
Tennessee,Robertson County,2017,70328
Tennessee,Robertson County,2018,71179
Tennessee,Robertson County,2019,71813
Tennessee,Rutherford County,2010,263708
Tennessee,Rutherford County,2011,269160
Tennessee,Rutherford County,2012,274397
Tennessee,Rutherford County,2013,281148
Tennessee,Rutherford County,2014,288848
Tennessee,Rutherford County,2015,298197
Tennessee,Rutherford County,2016,307415
Tennessee,Rutherford County,2017,316531
Tennessee,Rutherford County,2018,324647
Tennessee,Rutherford County,2019,332285
Tennessee,Scott County,2010,22227
Tennessee,Scott County,2011,22105
Tennessee,Scott County,2012,22175
Tennessee,Scott County,2013,22062
Tennessee,Scott County,2014,21990
Tennessee,Scott County,2015,21893
Tennessee,Scott County,2016,21890
Tennessee,Scott County,2017,21964
Tennessee,Scott County,2018,22028
Tennessee,Scott County,2019,22068
Tennessee,Sequatchie County,2010,14128
Tennessee,Sequatchie County,2011,14274
Tennessee,Sequatchie County,2012,14350
Tennessee,Sequatchie County,2013,14537
Tennessee,Sequatchie County,2014,14634
Tennessee,Sequatchie County,2015,14641
Tennessee,Sequatchie County,2016,14754
Tennessee,Sequatchie County,2017,14767
Tennessee,Sequatchie County,2018,14891
Tennessee,Sequatchie County,2019,15026
Tennessee,Sevier County,2010,89923
