city,state,county_name,latitude,longitude,population,density,source,zips
Altamont,Tennessee,Grundy,35.4325,-85.7433,1067.0,20.0,polygon,37301 37305
Rutherford,Tennessee,Gibson,36.1249,-88.992,1067.0,178.0,polygon,38369
New Hope,Tennessee,Marion,35.0044,-85.6598,1052.0,39.0,polygon,37380
Obion,Tennessee,Obion,36.2643,-89.1947,1041.0,311.0,polygon,38240
Alexandria,Tennessee,DeKalb,36.0791,-86.0381,1012.0,192.0,polygon,37012
Helenwood,Tennessee,Scott,36.4289,-84.5532,1008.0,61.0,polygon,37755
Winfield,Tennessee,Scott,36.5637,-84.4459,1006.0,59.0,polygon,37892
Wildwood,Tennessee,Blount,35.7999,-83.8686,992.0,154.0,polygon,37804
Scotts Hill,Tennessee,Decatur,35.5188,-88.2526,979.0,100.0,polygon,38374
Bradford,Tennessee,Gibson,36.0737,-88.8158,978.0,221.0,polygon,38316
Rossville,Tennessee,Fayette,35.0323,-89.5612,962.0,71.0,polygon,38066
Gainesboro,Tennessee,Jackson,36.3618,-85.6496,959.0,237.0,polygon,38562
Walnut Grove,Tennessee,Sumner,36.489,-86.6057,956.0,76.0,polygon,37048
Linden,Tennessee,Perry,35.6123,-87.8429,956.0,367.0,polygon,37096
Collinwood,Tennessee,Wayne,35.1745,-87.7441,944.0,131.0,polygon,38450
Orlinda,Tennessee,Robertson,36.5938,-86.7015,940.0,55.0,polygon,37141
Henning,Tennessee,Lauderdale,35.682,-89.577,931.0,145.0,polygon,38041
Wartburg,Tennessee,Morgan,36.1038,-84.5859,924.0,352.0,polygon,37887
Atwood,Tennessee,Carroll,35.9747,-88.6689,919.0,204.0,polygon,38220
Sharon,Tennessee,Weakley,36.2349,-88.8252,917.0,278.0,polygon,38255
Tellico Plains,Tennessee,Monroe,35.3665,-84.2982,909.0,179.0,polygon,37385
Friendsville,Tennessee,Blount,35.7563,-84.1319,903.0,122.0,polygon,37737
