city,latitude,longitude,country,population
Dasongshu,26.136848,103.57336,China,
Kuytun,44.427074,84.90069100000001,China,
Bayan,46.075563,127.398403,China,
Yicheng,31.360588,119.82015700000001,China,
Guji,27.169565000000002,103.284299,China,
Jiading,25.429505,114.92804199999999,China,
Lazanzhong,28.221241999999997,99.73224300000001,China,
Siyang,27.2116,108.745,China,
Siyang,22.168409,107.943087,China,
Sicheng,33.489359,117.85678899999999,China,
Xinyuan,43.451111,83.147778,China,
Xinyuan,37.3,99.0,China,
Hanshou,28.905833,111.956111,China,
Lincheng,26.869319,109.66336499999998,China,
Shengrenjian,34.844218,111.19131200000001,China,
Shengping,28.485635,98.911388,China,
Xinhuang,27.373588,109.13376299999999,China,
Jingyu,42.372673,126.801146,China,
Wulan,36.565412,104.684012,China,
Xiangshui,35.476949,106.33112,China,
Tianning,37.547222,112.160531,China,
Liuba,33.618611,106.918889,China,
Shuguang,47.724107000000004,128.67398899999998,China,
Zhanggu,30.868746999999995,101.888481,China,
Nanchansi,31.56242,120.300211,China,
Liyang,29.6518,111.75200000000001,China,
Tongquan,25.4,103.56666700000001,China,
Nanjie,35.735556,107.635278,China,
Fengchuan,28.7,115.38333300000001,China,
Xuejiawan,39.866779,111.220798,China,
Chong’ansi,31.579874,120.295176,China,
Jianping,31.130626,119.17829499999999,China,
Jisegumen,34.0642,80.7712,China,
Qingfeng Chengguanzhen,35.903611,115.105278,China,
Qingfu,28.437006,104.516217,China,
Suizhong,40.329159000000004,120.336526,China,
Baocheng,18.640278,109.699444,China,
Yong’an,36.657621,111.566433,China,
Xiaopingba,25.494863,102.512259,China,
Maindong,31.333333000000003,85.416667,China,
Jingcheng,32.014167,120.2625,China,
Nayun,22.331962,99.56132,China,
Chaling Chengguanzhen,26.790971999999996,113.539754,China,
Pingpo,25.428369,103.754548,China,
Zhowagoin,28.659104,97.450648,China,
Shanjiao,27.322302,103.068444,China,
Huliao,24.35764,116.68662900000001,China,
Xinpu,34.599722,119.159444,China,
Fendou,47.409546999999996,129.428217,China,
Huichang,34.903762,112.78426100000001,China,
Renhua,25.091253,113.744455,China,
Yacha,19.230556,109.4475,China,
Pisha,27.070574,102.75770899999999,China,
Baijiantan,45.689278,85.124414,China,
Hangchuan,27.519465999999998,117.33490800000001,China,
Dalain Hob,41.965278000000005,101.063889,China,
Longbo,25.92922,111.622201,China,
Tuodian,24.666667,101.633333,China,
Zhongxin,26.616667,101.271538,China,
Yongfeng,27.428290999999998,112.18337700000001,China,
Yongding,25.198596,102.461887,China,
Yongding,26.041220000000003,101.686418,China,
Qingfenglin,27.787767,105.14573200000001,China,
Shuitianzhai,27.764327,105.251579,China,
Zhongcun,26.134589000000002,102.681092,China,
Kuancheng,40.605556,118.4825,China,
Chugqênsumdo,33.433333000000005,101.43333299999999,China,
Pucheng,27.923333000000003,118.53333300000001,China,
Donghe,32.233414,106.301257,China,
Toding,31.480563,79.79803299999999,China,
Toli,45.938586,83.60055799999999,China,
Nu’erbage,37.113399,79.910337,China,
Yangming,44.596291,129.620814,China,
Poyang,28.992423,116.66753600000001,China,
Xiping,40.039522,113.604551,China,
Gantang,30.296944,118.130556,China,
Gulang,37.466575,102.894281,China,
Hengzhou,22.688620999999998,109.265892,China,
Longquan,36.117364,113.185709,China,
Longshan,24.600891,98.704185,China,
Nanjie,41.017943,119.05223500000001,China,
